Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,EUR_price,Country,City,Price_groub,Views Performance
Motor Yacht,Windy power boats,"Used boat,Diesel",1998,9.99,3.5,GRP,178,85000.0,Germany, Ostdeutschland,Medium (44290-250000),Good (more than 170)
Center console boat,Boston Whaler power boats,"Used boat,Unleaded",2008,7.23,2.59,PVC,178,49900.0,France," VANNES, France",Medium (44290-250000),Good (more than 170)
Fishing Boat,Riva Bertram power boats,"Used boat,Unleaded",1978,7.54,2.9,GRP,178,44900.0,Spain, Mallorca ,Medium (44290-250000),Good (more than 170)
Sport Boat,Nordkapp power boats,"Used boat,Unleaded",2018,6.06,2.2,GRP,178,39900.0,Germany, Nordrhein-Westfalen ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Buster power boats,new boat from stock,0,6.25,2.2,Aluminium,178,40789.8,Switzerland, Safenwil,Cheap (less than 44290),Good (more than 170)
Sport Boat,Chaparral power boats,"Used boat,Unleaded",2008,7.1,2.55,GRP,178,34990.0,Germany, Erftstadt-Liblar,Cheap (less than 44290),Good (more than 170)
Motor Yacht,Ranieri International power boats,"new boat from stock,Unleaded",0,5.65,2.2,GRP,178,34476.0,Switzerland, Bielersee ,Cheap (less than 44290),Good (more than 170)
Fishing Boat,Rodman power boats,"Used boat,Diesel",1994,6.99,2.81,GRP,178,17800.0,Other, Lisbon,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Cranchi power boats,"Used boat,Unleaded",2002,8.44,2.97,GRP,177,34900.0,Germany, Nordrhein-Westfalen ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Stingray power boats,new boat from stock,2019,6.3,2.5,GRP,177,59900.0,Germany, Konstanz-Dettingen,Medium (44290-250000),Good (more than 170)
Cabin Boat,Regal power boats,"Used boat,Unleaded",2009,8.5,3.2,GRP,177,70000.0,Italy, Dormelletto (NO),Medium (44290-250000),Good (more than 170)
Motor Yacht,Bavaria power boats,new boat from stock,2020,11.66,3.59,GRP,177,210197.0,Denmark, Ab v¦rft,Expensive (more than 250000),Good (more than 170)
Bowrider,Frauscher power boats,"new boat from stock,Unleaded",2020,9.99,2.99,GRP,177,315665.0,Switzerland, Lake Constance ,Expensive (more than 250000),Good (more than 170)
Mega Yacht,Bandido Yachts power boats,new boat from stock,0,35.0,8.8,GRP,177,11900000.0,Other,None,Expensive (more than 250000),Good (more than 170)
Hardtop,Sunseeker power boats,"Used boat,Diesel",2007,14.99,4.2,GRP,177,260000.0,Croatia(Hrvatska), Zadar,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2004,14.76,4.2,GRP,177,219900.0,Spain, Mallorca ,Expensive (more than 250000),Good (more than 170)
Flybridge,Azimut power boats,"Used boat,Diesel",1995,15.66,4.4,GRP,177,149000.0,Italy, Aprilia Marittima di Latisana (UD),Expensive (more than 250000),Good (more than 170)
Motor Yacht,Sea Ray power boats,"Used boat,Diesel",2002,12.65,4.22,GRP,177,129000.0,Other,None,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Cranchi power boats,new boat from stock,2019,9.15,2.98,GRP,177,128974.0,Netherlands, onbekend,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Ocqueteau power boats,"new boat from stock,Unleaded",2019,7.8,2.73,GRP,177,71298.0,Switzerland, Lake Geneva ,Medium (44290-250000),Good (more than 170)
Cabin Boat,Altair power boats,"Used boat,Diesel",2008,8.6,3.0,GRP,177,58000.0,Italy, Sardegna ,Medium (44290-250000),Good (more than 170)
Sport Boat,Saver power boats,"new boat from stock,Unleaded",2020,7.75,2.55,GRP,177,57950.0,Germany, Gersthofen,Medium (44290-250000),Good (more than 170)
Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",0,6.55,2.54,GRP,177,54800.0,Germany, Hamburg ,Medium (44290-250000),Good (more than 170)
Motor Yacht,Holland StahlverdrÃ¤nger power boats,"Used boat,Diesel",1980,10.8,3.3,Steel,177,19500.0,Germany, Heilbronn,Cheap (less than 44290),Good (more than 170)
Bowrider,Sea-Doo power boats,"Used boat,Unleaded",2017,3.4,1.18,GRP,177,14999.0,Spain, Mallorca ,Cheap (less than 44290),Good (more than 170)
Pontoon Boat,Airon Marine power boats,"Used boat,Unleaded",1992,7.63,2.5,GRP,176,22440.0,Switzerland, Luganersee ,Cheap (less than 44290),Good (more than 170)
Deck Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,7.88,2.55,GRP,176,42499.0,Germany, Kieler Bucht mit Fehmarn ,Cheap (less than 44290),Good (more than 170)
Sport Boat,AMT power boats,"new boat from stock,Unleaded",2019,6.8,2.4,GRP,176,85119.0,Switzerland, Vierwaldst¤ttersee ,Medium (44290-250000),Good (more than 170)
Bowrider,Sea Ray power boats,"Display Model,Unleaded",2020,7.89,2.59,GRP,176,115900.0,Germany, Bayern ,Expensive (more than 250000),Good (more than 170)
Trawler,Hollandia power boats,"Used boat,Diesel",2012,10.8,3.5,Steel,176,135000.0,Germany, Berlin ,Expensive (more than 250000),Good (more than 170)
Sport Boat,Mirakul power boats,"new boat on order,Diesel",2020,9.19,3.1,GRP,176,142500.0,Switzerland, Lake Constance ,Expensive (more than 250000),Good (more than 170)
Trawler,Linssen power boats,Diesel,2017,17.8,5.13,GRP,176,1650000.0,Netherlands, Nordsee Holland,Expensive (more than 250000),Good (more than 170)
Mega Yacht,Baglietto power boats,"Used boat,Diesel",1988,36.0,7.02,Aluminium,176,998500.0,Other, Griechenland,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Sealine power boats,"Used boat,Diesel",2019,12.5,3.85,GRP,176,459000.0,Germany, Nordsee ,Expensive (more than 250000),Good (more than 170)
Trawler,Rhea power boats,new boat from stock,0,10.4,3.98,GRP,176,426525.0,Netherlands, In verkoophaven,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Bavaria power boats,"Used boat,Diesel",2019,9.35,2.99,GRP,176,107000.0,Spain, Baleares ,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Gobbi power boats,"Used boat,Diesel",2001,11.45,3.8,GRP,176,70000.0,Other,None,Medium (44290-250000),Good (more than 170)
Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2006,10.25,3.2,GRP,176,67000.0,Italy, Aprilia Marittima di Latisana (UD),Medium (44290-250000),Good (more than 170)
Sport Boat,Karnic power boats,"new boat from stock,Unleaded",2020,7.15,2.45,GRP,176,73440.0,Switzerland, Lago Maggiore ,Medium (44290-250000),Good (more than 170)
Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",2004,8.53,2.89,GRP,176,59000.0,Germany, Ochsenfurt am Main,Medium (44290-250000),Good (more than 170)
Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",0,5.94,2.54,GRP,176,47300.0,Germany, Hamburg ,Medium (44290-250000),Good (more than 170)
Fishing Boat,Selva power boats,"new boat from stock,Unleaded",2020,6.5,2.38,GRP,176,48450.0,Switzerland, Lake Constance ,Medium (44290-250000),Good (more than 170)
Deck Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,7.23,2.55,GRP,176,30499.0,Germany, Kieler Bucht mit Fehmarn ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Invictus power boats,Display Model,2020,6.1,2.4,GRP,176,24930.0,Switzerland, Lago Maggiore ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Inter power boats,Diesel,1985,7.4,2.55,GRP,176,23990.0,Germany, Potsdam,Cheap (less than 44290),Good (more than 170)
Sport Boat,Bayliner power boats,Used boat,1995,7.02,2.52,PVC,175,10000.0,France," CAP D'AGDE, CAP D'AGDE",Cheap (less than 44290),Good (more than 170)
Cabin Boat,Glastron power boats,"Used boat,Unleaded",1998,6.13,2.39,GRP,175,11000.0,Other,None,Cheap (less than 44290),Good (more than 170)
Sport Boat,Maxum power boats,"Used boat,Unleaded",2000,7.23,2.56,GRP,175,29000.0,France," DIENVILLE, DIENVILLE",Cheap (less than 44290),Good (more than 170)
Cabin Boat,Coverline power boats,"Used boat,Diesel",2006,7.6,2.5,GRP,175,32500.0,Germany, Bayern ,Cheap (less than 44290),Good (more than 170)
Pilothouse,Rhea power boats,"Used boat,Diesel",2004,8.85,2.84,GRP,175,38000.0,Italy, Mar Tirreno,Cheap (less than 44290),Good (more than 170)
Motor Yacht,Parker power boats,"Display Model,Unleaded",2019,7.85,2.8,GRP,175,53049.0,Germany, Nordrhein-Westfalen ,Medium (44290-250000),Good (more than 170)
Pilothouse,Nimbus power boats,"Used boat,Diesel",2003,8.0,2.0,GRP,175,75000.0,Croatia(Hrvatska), Kvarner,Medium (44290-250000),Good (more than 170)
Sport Boat,MasterCraft power boats,"new boat from stock,Unleaded",0,6.09,2.49,GRP,175,88500.0,Germany, Lake Constance ,Medium (44290-250000),Good (more than 170)
Motor Yacht,Elling power boats,"Used boat,Diesel",2007,13.8,4.25,GRP,175,265000.0,Croatia(Hrvatska), Pula / Marina Veruda,Expensive (more than 250000),Good (more than 170)
Flybridge,Monte Carlo power boats,"Used boat,Diesel",2011,23.05,5.65,GRP,175,2190000.0,Italy, Italy,Expensive (more than 250000),Good (more than 170)
Flybridge,Azimut power boats,"Used boat,Diesel",2016,15.88,4.66,GRP,175,698000.0,Spain, Costa Brava ,Expensive (more than 250000),Good (more than 170)
Flybridge,Azimut power boats,"Used boat,Diesel",2008,21.1,5.4,GRP,175,599000.0,Croatia(Hrvatska), INFO BOOTE RIEDL ZADAR,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2009,11.92,3.89,GRP,175,198000.0,Netherlands, Niederlande,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Sea Ray power boats,"Used boat,Diesel",1991,14.63,4.57,GRP,175,80000.0,Spain, Valencia ,Medium (44290-250000),Good (more than 170)
Pilothouse,Rhea power boats,"Used boat,Diesel",2011,7.3,3.0,PVC,175,59500.0,France," SAINT GILLES CROIX DE VIE, France",Medium (44290-250000),Good (more than 170)
Motor Yacht,Cytra power boats,"Used boat,Diesel",1975,11.2,3.5,GRP,175,52900.0,Germany, Rathenow,Medium (44290-250000),Good (more than 170)
Fishing Boat,EdgeWater power boats,"new boat on order,Unleaded",2020,4.8,2.2,GRP,175,42114.78,Switzerland, Villarepos,Cheap (less than 44290),Good (more than 170)
Trawler,Thermo Yacht power boats,"Used boat,Diesel",1992,10.9,3.55,Steel,174,49500.0,Germany, Emden,Medium (44290-250000),Good (more than 170)
Sport Boat,Crownline power boats,"Used boat,Unleaded",2008,9.2,2.95,GRP,174,57000.0,Italy, Adriatic Sea,Medium (44290-250000),Good (more than 170)
Motor Yacht,Cranchi power boats,"new boat from stock,Diesel",2020,17.2,4.85,GRP,174,1839768.0,Italy, Veneto ,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Fairline power boats,"Used boat,Diesel",2015,17.65,5.01,GRP,174,849000.0,Croatia(Hrvatska), Adria,Expensive (more than 250000),Good (more than 170)
House Boat,Hemiksem power boats,Used boat,1966,46.91,5.08,Steel,174,265000.0,Other, Bruxelles - Ittre ,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2009,11.98,4.16,GRP,174,215000.0,Spain, Alicante,Expensive (more than 250000),Good (more than 170)
Flybridge,Conam power boats,"Used boat,Diesel",1999,18.45,4.4,GRP,174,175000.0,Italy, Emilia Romagna ,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Monterey power boats,"Used boat,Unleaded",2011,10.7,3.4,GRP,174,190638.0,Switzerland, Bielersee ,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Saxdor power boats,new boat on order,0,10.28,3.1,GRP,174,109080.0,Other,None,Expensive (more than 250000),Good (more than 170)
Flybridge,Schachner power boats,"Used boat,Diesel",1994,11.5,4.0,GRP,174,99000.0,Other,None,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Proficiat power boats,"Used boat,Diesel",1997,10.1,3.2,Steel,174,69900.0,Germany, Hamburg,Medium (44290-250000),Good (more than 170)
Classic,Walser power boats,"Used boat,Unleaded",1967,5.6,2.05,GRP,174,50490.0,Switzerland, Lake Constance ,Medium (44290-250000),Good (more than 170)
Sport Boat,Marinello power boats,"Used boat,Unleaded",2017,4.7,1.9,GRP,174,18900.0,Germany, Stadtprozelten ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Fjord power boats,"Used boat,Diesel",1972,7.4,3.1,GRP,174,14990.0,Germany, Verkaufshafen Brandenburg-Plaue,Cheap (less than 44290),Good (more than 170)
Deck Boat,Marinello power boats,"new boat from stock,Unleaded",2019,5.65,2.35,GRP,174,13900.0,Germany, Hock Boote,Cheap (less than 44290),Good (more than 170)
Deck Boat,Viking power boats,new boat from stock,2020,5.5,2.17,Aluminium,174,13050.0,Germany, Ab Werft,Cheap (less than 44290),Good (more than 170)
Sport Boat,Sea-Doo power boats,"new boat from stock,Unleaded",2019,2.79,1.18,GRP,174,10487.0,Other, Linz,Cheap (less than 44290),Good (more than 170)
Center console boat,Janmor power boats,"Used boat,Unleaded",2005,5.3,2.33,GRP,173,8500.0,France," GRANVILLE, France",Cheap (less than 44290),Good (more than 170)
Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1992,7.8,2.59,GRP,173,11000.0,Italy, Lake Garda ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Aquador power boats,Used boat,1996,6.82,2.68,GRP,173,25870.0,Denmark, Vores udstilling,Cheap (less than 44290),Good (more than 170)
Center console boat,Morningstar power boats,"new boat from stock,Unleaded",2019,4.98,2.0,Aluminium,173,29478.0,Switzerland, Vierwaldst¤ttersee ,Cheap (less than 44290),Good (more than 170)
Flybridge,Princess power boats,"Used boat,Diesel",1988,11.6,3.96,GRP,173,60000.0,Croatia(Hrvatska), Murter (Kroatien),Medium (44290-250000),Good (more than 170)
Motor Yacht,Cranchi power boats,"Used boat,Diesel",2001,11.21,3.49,GRP,173,69000.0,Other, Lisbon,Medium (44290-250000),Good (more than 170)
Runabout,Ganz Boats power boats,"Display Model,Unleaded",2019,6.8,2.35,GRP,173,97920.0,Switzerland, Lake of Zurich ,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Bavaria power boats,"Used boat,Diesel",2008,11.95,3.99,GRP,173,139900.0,Germany, Ostsee ,Expensive (more than 250000),Good (more than 170)
Flybridge,Bavaria power boats,"Used boat,Diesel",2018,12.29,4.2,GRP,173,285000.0,Italy, INFO DD-YACHTING,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Riva power boats,Used boat,2014,20.82,5.45,GRP,173,1695000.0,Other,None,Expensive (more than 250000),Good (more than 170)
Cabin Boat,Invictus power boats,"new boat from stock,Unleaded",2020,9.97,3.0,GRP,173,248800.0,Germany, Lake Constance ,Expensive (more than 250000),Good (more than 170)
Pilothouse,Rhea power boats,new boat from stock,0,9.3,3.3,GRP,173,232925.0,Netherlands, In verkoophaven,Expensive (more than 250000),Good (more than 170)
Pontoon Boat,Performance power boats,"Used boat,Unleaded",2009,11.8,3.0,GRP,173,228000.0,Italy, Gardasee,Expensive (more than 250000),Good (more than 170)
Motor Yacht,BÃ©nÃ©teau power boats,"new boat on order,Unleaded",2021,11.16,3.49,GRP,173,164790.0,Germany, Gersthofen - Augsburg,Expensive (more than 250000),Good (more than 170)
Motor Yacht,AXOPAR power boats,Used boat,2019,9.18,2.95,GRP,173,115000.0,Croatia(Hrvatska)," Zadar, (CRO)",Expensive (more than 250000),Good (more than 170)
Pilothouse,Quicksilver power boats,new boat from stock,0,8.91,2.98,GRP,173,89500.0,Germany, BOOTSCENTER KESER,Medium (44290-250000),Good (more than 170)
Motor Yacht,Cranchi power boats,Used boat,2007,9.21,3.56,GRP,173,82000.0,Italy, Campania ,Medium (44290-250000),Good (more than 170)
Hardtop,Bella power boats,"Used boat,Diesel",2007,8.17,2.6,GRP,173,73440.0,Switzerland, Vierwaldst¤ttersee ,Medium (44290-250000),Good (more than 170)
Flybridge,Neptunus power boats,"Used boat,Diesel",1976,13.1,4.0,Plastic,173,60000.0,Netherlands, Nordbrabant ,Medium (44290-250000),Good (more than 170)
Fishing Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.55,2.54,GRP,173,50377.8,Switzerland, Neuenburgersee ,Medium (44290-250000),Good (more than 170)
Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",0,5.94,2.54,GRP,173,41400.0,Germany, Hamburg ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Allegra power boats,Used boat,2019,6.35,2.45,GRP,172,14200.0,Italy, Lombardia - Trentino Alto Adige ,Cheap (less than 44290),Good (more than 170)
Trawler,GioMare power boats,Used boat,1995,5.7,2.8,GRP,172,16900.0,Other,None,Cheap (less than 44290),Good (more than 170)
Sport Boat,Crownline power boats,"Used boat,Diesel",1999,7.0,2.6,GRP,172,34800.0,Germany, Baden-W¼rttemberg ,Cheap (less than 44290),Good (more than 170)
Motor Yacht,Four Winns power boats,"Used boat,Unleaded",1992,9.95,3.15,GRP,172,35000.0,Netherlands, Woudsend (NL),Cheap (less than 44290),Good (more than 170)
Bowrider,Nordkapp power boats,new boat from stock,2019,6.06,2.2,GRP,172,41268.18,Switzerland, Vierwaldst¤ttersee ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Four Winns power boats,"Used boat,Unleaded",2006,7.36,2.55,GRP,172,38000.0,France," dienville, dienville",Cheap (less than 44290),Good (more than 170)
Motor Yacht,Absolute power boats,"Used boat,Unleaded",2003,7.4,2.5,GRP,172,59160.0,Switzerland, Luganersee ,Medium (44290-250000),Good (more than 170)
Fishing Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",0,6.55,2.54,GRP,172,58843.8,Switzerland, Vierwaldst¤ttersee ,Medium (44290-250000),Good (more than 170)
Motor Yacht,Sunseeker power boats,"Used boat,Unleaded",1992,11.2,3.2,GRP,172,56000.0,Germany, Kressbronn/Halle,Medium (44290-250000),Good (more than 170)
Motor Yacht,Bavaria power boats,"Used boat,Diesel",2014,10.8,3.59,GRP,172,160000.0,Spain, Mallorca ,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2012,26.44,6.3,GRP,172,2900000.0,Other,None,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,27.89,6.34,GRP,172,1950000.0,Italy, Naples,Expensive (more than 250000),Good (more than 170)
Hardtop,Sunseeker power boats,"Used boat,Diesel",2019,18.24,4.7,GRP,172,1462494.15,UnitedKingdom, Southampton ,Expensive (more than 250000),Good (more than 170)
Flybridge,Absolute power boats,"Used boat,Diesel",2019,16.0,4.65,GRP,172,999000.0,Spain, NHE PALMA,Expensive (more than 250000),Good (more than 170)
Flybridge,Astondoa power boats,"Used boat,Diesel",2016,13.9,4.28,GRP,172,329000.0,Spain, Costa Blanca ,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Greenline power boats,Used boat,2018,11.99,3.75,GRP,172,250000.0,Croatia(Hrvatska), Croatia,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Sealine power boats,Used boat,2017,10.31,3.5,GRP,172,249000.0,Other," Turku, (FI)",Expensive (more than 250000),Good (more than 170)
Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2001,16.13,4.44,GRP,172,219000.0,Germany, Neustadt i.H.,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Sessa power boats,"Used boat,Diesel",2005,10.6,3.53,GRP,172,65000.0,Croatia(Hrvatska), INFO DD-YACHTING,Medium (44290-250000),Good (more than 170)
Cabin Boat,Crownline power boats,"Used boat,Unleaded",2008,9.2,2.95,GRP,172,55500.0,Italy, Marche - Umbria ,Medium (44290-250000),Good (more than 170)
Cabin Boat,Nidelv power boats,"Used boat,Diesel",1987,9.1,3.05,GRP,172,49140.0,Denmark, Reese Marin Aabenraa,Medium (44290-250000),Good (more than 170)
Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2003,10.4,3.11,PVC,172,50000.0,France," LORIENT, France",Medium (44290-250000),Good (more than 170)
Cabin Boat,Nimbus power boats,"Used boat,Diesel",1994,8.45,2.85,GRP,172,38500.0,Italy, Adria,Cheap (less than 44290),Good (more than 170)
Launch,Boesch power boats,"Used boat,Unleaded",1972,6.5,2.3,Wood,172,35000.0,Spain, Barcelona,Cheap (less than 44290),Good (more than 170)
Runabout,Safter Marine power boats,"new boat from stock,Unleaded",2020,6.3,2.1,GRP,172,33558.0,Switzerland, Zugersee ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1994,6.57,2.43,GRP,172,22900.0,Other, Linz,Cheap (less than 44290),Good (more than 170)
Flybridge,Carver power boats,"Used boat,Diesel",1993,8.4,2.86,GRP,172,21000.0,Other,None,Cheap (less than 44290),Good (more than 170)
Fishing Boat,MÃ¤ndli power boats,"Used boat,Unleaded",2006,7.0,1.8,Wood,172,12240.0,Switzerland, Stein am Rhein,Cheap (less than 44290),Good (more than 170)
Sport Boat,Invictus power boats,"new boat on order,Unleaded",2020,8.9,2.84,GRP,171,111350.0,Switzerland, Lake Constance ,Expensive (more than 250000),Good (more than 170)
Hardtop,Pershing power boats,Used boat,2005,15.23,4.38,GRP,171,350000.0,Italy, Campania ,Expensive (more than 250000),Good (more than 170)
Flybridge,Sunseeker power boats,"new boat on order,Diesel",2019,22.82,5.38,GRP,171,3167223.93,UnitedKingdom, United Kingdom ,Expensive (more than 250000),Good (more than 170)
Flybridge,Princess power boats,"Used boat,Diesel",2012,18.61,4.83,GRP,171,890000.0,Italy, Friuli Venezia Giulia ,Expensive (more than 250000),Good (more than 170)
Flybridge,Princess power boats,"Used boat,Diesel",2007,20.0,5.18,GRP,171,645000.0,Italy, Liguria ,Expensive (more than 250000),Good (more than 170)
Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2009,16.0,4.9,GRP,171,499999.0,Italy, Friuli Venezia Giulia ,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Marex power boats,"Used boat,Diesel",2019,11.49,3.59,GRP,171,389740.0,Denmark, Kontakt os,Expensive (more than 250000),Good (more than 170)
Hardtop,Mirakul power boats,"new boat on order,Diesel",2020,12.0,4.0,GRP,171,355000.0,Switzerland, Lake Constance ,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Bavaria power boats,"Used boat,Diesel",2014,13.22,4.41,GRP,171,269000.0,Italy, Tirreno Meridionale,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Loon power boats,"Used boat,Diesel",2015,12.7,3.99,Aluminium,171,253980.0,Switzerland, Basel ,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Pershing power boats,"Used boat,Diesel",2002,13.78,4.14,GRP,171,229000.0,Italy, Lake Garda ,Expensive (more than 250000),Good (more than 170)
Classic,Grand Banks power boats,"Used boat,Diesel",1973,14.02,3.33,Wood,171,169000.0,Croatia(Hrvatska),None,Expensive (more than 250000),Good (more than 170)
House Boat,Waltjen power boats,"Used boat,Diesel",0,18.0,5.0,Steel,171,125000.0,Germany, Otterndorf,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Atlantis power boats,"Used boat,Diesel",2004,12.5,4.0,Plastic,171,110000.0,France, Alsace ,Expensive (more than 250000),Good (more than 170)
Flybridge,Bayliner power boats,"Used boat,Diesel",1995,12.12,3.99,GRP,171,89000.0,Other,None,Medium (44290-250000),Good (more than 170)
Sport Boat,Chris Craft power boats,"Used boat,Unleaded",1961,7.5,2.3,Wood,171,58500.0,Denmark, Copenhagen,Medium (44290-250000),Good (more than 170)
Runabout,Starcraft power boats,"new boat from stock,Unleaded",2020,6.49,2.49,GRP,171,64555.8,Switzerland, Vierwaldst¤ttersee ,Medium (44290-250000),Good (more than 170)
Bowrider,Bayliner power boats,"new boat from stock,Unleaded",2020,6.82,2.45,GRP,171,60730.8,Switzerland, Lake Geneva ,Medium (44290-250000),Good (more than 170)
Sport Boat,Sea Ray power boats,"new boat on order,Unleaded",2017,6.0,2.55,GRP,171,39900.0,Other, Linz,Cheap (less than 44290),Good (more than 170)
Flybridge,Chris Craft power boats,"Used boat,Diesel",1969,10.0,3.45,GRP,171,39000.0,Germany, Bremen ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Mazury power boats,"Used boat,Unleaded",2016,7.0,2.55,GRP,171,33900.0,Germany, Bnningstedt,Cheap (less than 44290),Good (more than 170)
Sport Boat,Gobbi power boats,"Used boat,Unleaded",1995,8.5,2.95,GRP,171,29900.0,Italy, Nord Adria,Cheap (less than 44290),Good (more than 170)
Sport Boat,Chaparral power boats,"Used boat,Unleaded",1997,9.0,2.0,GRP,171,23000.0,Croatia(Hrvatska), Istra,Cheap (less than 44290),Good (more than 170)
Launch,Campion power boats,"Used boat,Unleaded",2001,7.38,2.62,GRP,170,25000.0,Spain, Alicante,Cheap (less than 44290),Average (70-170)
Passenger boat,Invictus power boats,new boat from stock,2019,7.25,2.5,GRP,170,45000.0,Switzerland, Lake Geneva ,Medium (44290-250000),Average (70-170)
Motor Yacht,Parker power boats,"new boat from stock,Unleaded",0,7.46,2.5,GRP,170,49980.0,Germany, Hamburg ,Medium (44290-250000),Average (70-170)
Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2004,9.8,3.2,GRP,170,52000.0,Italy, Aprilia Marittima di Latisana (UD),Medium (44290-250000),Average (70-170)
Bowrider,Sea Ray power boats,"new boat from stock,Unleaded",2020,6.55,2.54,GRP,170,60040.0,Germany, Berlin ,Medium (44290-250000),Average (70-170)
Sport Boat,Jeanneau power boats,"Used boat,Unleaded",2016,7.95,2.92,GRP,170,84900.0,Germany, LAMPERTHEIM,Medium (44290-250000),Average (70-170)
Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2003,13.68,4.3,GRP,170,120000.0,France, PACA ,Expensive (more than 250000),Average (70-170)
Hardtop,Pershing power boats,"Used boat,Diesel",2010,20.04,5.45,GRP,170,1250000.0,Switzerland, Frankreich ,Expensive (more than 250000),Average (70-170)
Hardtop,XO Boats power boats,"Used boat,Diesel",2018,8.6,2.6,Aluminium,170,223890.0,Switzerland, Stansstad,Expensive (more than 250000),Average (70-170)
Flybridge,Astondoa power boats,"Used boat,Diesel",2000,13.9,4.28,GRP,170,150000.0,Spain, Alicante,Expensive (more than 250000),Average (70-170)
Motor Yacht,Sealine power boats,"Used boat,Diesel",2005,11.0,3.0,GRP,170,135000.0,Croatia(Hrvatska), Kvarner,Expensive (more than 250000),Average (70-170)
Motor Yacht,Bavaria power boats,"Used boat,Diesel",2007,11.35,3.84,GRP,170,125000.0,Spain, Mallorca ,Expensive (more than 250000),Average (70-170)
Trawler,Linssen power boats,Used boat,1998,10.1,3.45,Steel,170,109500.0,Netherlands," Niet in verkoophaven, bezichtiging op afspraak",Expensive (more than 250000),Average (70-170)
Motor Yacht,Treffer power boats,Used boat,1995,14.7,4.5,Steel,170,79000.0,Netherlands, onbekend,Medium (44290-250000),Average (70-170)
Sport Boat,Riva power boats,Used boat,1978,8.17,2.43,GRP,170,75000.0,Other,None,Medium (44290-250000),Average (70-170)
Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2011,8.95,2.99,GRP,170,67900.0,Croatia(Hrvatska), INFO DD-YACHTING,Medium (44290-250000),Average (70-170)
Sport Boat,Silver power boats,"new boat from stock,Unleaded",0,6.06,2.36,GRP,170,52500.0,Germany, Waiblingen,Medium (44290-250000),Average (70-170)
Motor Yacht,Maxum power boats,"Used boat,Unleaded",2005,8.56,2.87,GRP,170,42000.0,Other, Croatia,Cheap (less than 44290),Average (70-170)
